Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2008051944491,2008-05-14 00:00:00,2008-05-05 00:00:00,TPA,Tampa International,USAir,Passenger Property Loss,Checked Baggage,Locks,15.0,Denied,0.0,Deny,9.0,15.0
2006021501594,2006-02-08 00:00:00,2005-07-25 00:00:00,MCO,Orlando International Airport,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),20.0,Denied,0.0,Deny,198.0,20.0
2005030877200,2005-02-01 00:00:00,2004-06-28 00:00:00,IAD,Washington Dulles International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,61.96,Approved,61.96,Approve in Full,218.0,0.0
2004121369018,2004-10-26 00:00:00,2004-09-30 00:00:00,PIT,Pittsburgh International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,144.97,Approved,144.97,Approve in Full,26.0,0.0
1205029M,2003-12-05 00:00:00,2003-10-11 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),85.0,Settled,42.5,Settle,55.0,42.5
2007110934803,2007-11-07 00:00:00,2007-10-10 00:00:00,HNL,Honolulu International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,149.99,Denied,0.0,Deny,28.0,149.99
2009031656317,2009-02-25 00:00:00,2009-01-11 00:00:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,94.1,Approved,94.1,Approve in Full,45.0,0.0
2006103114857,2006-10-24 00:00:00,2006-10-12 00:00:00,DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,55.0,Approved,55.0,Approve in Full,12.0,0.0
2008052744819,2008-05-22 00:00:00,2008-05-07 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,75.0,Denied,0.0,Deny,15.0,75.0
2006062108299,2006-06-20 00:00:00,2006-06-12 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,22.88,Approved,22.88,Approve in Full,8.0,0.0
2005082991749,2005-08-23 00:00:00,2005-08-13 00:00:00,GPT,Gulfport-Biloxi International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Clothing - Shoes; belts; accessories; etc.,67.29,Settled,33.64,Settle,10.0,33.650000000000006
2004060754948,2004-04-23 00:00:00,2004-03-06 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,1402.09,Approved,1402.09,Approve in Full,48.0,0.0
2008090249352,2008-08-29 00:00:00,2008-08-22 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Flashlights; Other; Scissors; Shears (other than electric),535.0,Settled,232.6,Settle,7.0,302.4
1208073M,2003-12-08 00:00:00,2003-11-16 00:00:00,CLT,Charlotte/Douglas International Airport,Delta Air Lines,Property Damage,Checked Baggage,Locks,150.0,Denied,0.0,Deny,22.0,150.0
2008022640175,2008-02-19 00:00:00,2008-01-11 00:00:00,CHS,Charleston International,American Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,303.85,Denied,0.0,Deny,39.0,303.85
2006090111915,2006-08-28 00:00:00,2006-07-15 00:00:00,RNO,Reno/Tahoe International,American West,Property Damage,Checked Baggage,Other,42.39,Denied,0.0,Deny,44.0,42.39
2006032803776,2006-03-21 00:00:00,2006-03-11 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Other,4.81,Denied,0.0,Deny,10.0,4.81
2006020801146,2006-02-03 00:00:00,2005-08-25 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Property Damage,Checkpoint,Baby - Strollers; car seats; playpen; etc.,150.0,Approved,150.0,Approve in Full,162.0,0.0
2006112216021,2006-11-16 00:00:00,2006-10-29 00:00:00,SNA,John Wayne,American Airlines,Passenger Property Loss,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,76.34,Settled,38.17,Settle,18.0,38.17
2006102614572,2006-10-19 00:00:00,2006-09-17 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,213.98,Denied,0.0,Deny,32.0,213.98
2008010837546,2008-01-02 00:00:00,2007-12-14 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,68.0,Settled,34.0,Settle,19.0,34.0
0212257M,2004-02-12 00:00:00,2004-01-01 00:00:00,MIA,Miami International Airport,USAir,Passenger Property Loss,Checked Baggage,Other,16.0,Approved,16.0,Approve in Full,42.0,0.0
2006013000561,2006-01-23 00:00:00,2006-01-20 00:00:00,MCO,Orlando International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),443.97,Denied,0.0,Deny,3.0,443.97
2008030740589,2008-02-27 00:00:00,2008-02-08 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer - Laptop,50.0,Denied,0.0,Deny,19.0,50.0
2005042983614,2005-04-28 00:00:00,2005-04-21 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),89.0,Approved,89.0,Approve in Full,7.0,0.0
2008091549893,2008-09-10 00:00:00,2008-09-07 00:00:00,BHB,Hancock County Bar Harbor,USAir,Passenger Property Loss,Checked Baggage,Locks,48.5,Denied,0.0,Deny,3.0,48.5
2007071128103,2007-06-29 00:00:00,2007-06-11 00:00:00,PIT,Pittsburgh International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,59.0,Denied,0.0,Deny,18.0,59.0
2008041642628,2008-04-08 00:00:00,2008-03-27 00:00:00,SNA,John Wayne,American Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,71.11,Approved,71.11,Approve in Full,12.0,0.0
0602027L,2003-06-02 00:00:00,2003-04-22 00:00:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,180.0,Settled,90.0,Settle,41.0,90.0
2007071228191,2007-07-09 00:00:00,2007-07-05 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,10.0,Denied,0.0,Deny,4.0,10.0
2005040181159,2005-03-29 00:00:00,2005-03-18 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,665.0,Denied,0.0,Deny,11.0,665.0
2009121466519,2009-12-10 00:00:00,2009-11-26 07:00:00,SAN,San Diego International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,549.0,Denied,0.0,Deny,13.0,549.0
2007072228836,2007-07-03 00:00:00,2007-05-09 00:00:00,PHF,Newport News / Williamsburg International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,130.0,Denied,0.0,Deny,55.0,130.0
0908031M,2003-09-08 00:00:00,2003-08-27 00:00:00,LGA,LaGuardia,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),199.99,Settled,50.0,Settle,12.0,149.99
2005060886018,2005-05-31 00:00:00,2005-04-29 00:00:00,PVD,TF Green Airport; Providence,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),20.0,Approved,20.0,Approve in Full,32.0,0.0
2006020901273,2006-02-03 00:00:00,2005-01-11 00:00:00,MCO,Orlando International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,77.95,Settled,38.98,Settle,388.0,38.970000000000006
0523003L,2003-05-23 00:00:00,2003-05-08 00:00:00,RSW,Southwest Florida International,Delta Air Lines,Property Damage,Checkpoint,Computer - Laptop,975.0,Settled,975.0,Settle,15.0,0.0
2008120152923,2008-11-26 00:00:00,2008-08-20 00:00:00,IND,Indianapolis International,Northwest Airlines,Property Damage,Checked Baggage,Computer - Laptop,180.0,Denied,0.0,Deny,98.0,180.0
0923088M,2003-09-23 00:00:00,2003-09-11 00:00:00,ONT,Ontario International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Approved,75.0,Approve in Full,12.0,0.0
2007020920646,2007-01-23 00:00:00,2006-07-02 00:00:00,CRP,Corpus Christi International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,119.99,Settled,75.59,Settle,205.0,44.39999999999999
2005040181114,2005-03-29 00:00:00,2005-03-12 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,85.0,Approved,85.0,Approve in Full,17.0,0.0
2006010999147,2006-01-04 00:00:00,2005-09-06 00:00:00,OGG,Kahului-Maui; HI,Hawaiian Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),235.4,Denied,0.0,Deny,120.0,235.4
2007030721963,2007-03-06 00:00:00,2006-12-29 00:00:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,449.0,Settled,224.5,Settle,67.0,224.5
2004051351893,2004-04-01 00:00:00,2004-03-08 00:00:00,PIT,Pittsburgh International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,40.0,Denied,0.0,Deny,24.0,40.0
2006110815359,2006-11-03 00:00:00,2006-10-19 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers),194.2,Settled,78.0,Settle,15.0,116.19999999999999
2008013038874,2008-01-25 00:00:00,2007-12-29 00:00:00,OGG,Kahului-Maui; HI,Aloha Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),22.0,Denied,0.0,Deny,27.0,22.0
2004120668634,2004-10-20 00:00:00,2004-09-29 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Northwest International Airways Ltd,Passenger Property Loss,Checkpoint,Jewelry - Fine,100.0,Approved,100.0,Approve in Full,21.0,0.0
2005103195390,2005-10-21 00:00:00,2005-09-28 00:00:00,CID,Eastern Iowa,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,209.95,Approved,209.95,Approve in Full,23.0,0.0
2006042104943,2006-04-12 00:00:00,2006-03-06 00:00:00,MCO,Orlando International Airport,American Airlines,Property Damage,Checked Baggage,Other,66.0,Denied,0.0,Deny,37.0,66.0
0305069L,2003-03-05 00:00:00,2003-01-06 00:00:00,BUF,Buffalo Niagara International,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Locks,149.0,Approved,149.0,Approve in Full,58.0,0.0
2005010472505,2004-12-14 00:00:00,2004-11-26 00:00:00,MKE,General Mitchell International Airport,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,440.96,Settled,214.97,Settle,18.0,225.98999999999998
2005050584158,2005-05-04 00:00:00,2005-04-20 00:00:00,LGA,LaGuardia,USAir,Passenger Property Loss,Checkpoint,Currency,265.0,Denied,0.0,Deny,14.0,265.0
2005100794303,2005-10-04 00:00:00,2005-08-13 00:00:00,LAS,McCarran International,America West,Passenger Property Loss,Checked Baggage,Cell Phones,161.99,Approved,161.99,Approve in Full,52.0,0.0
2007102233775,2007-10-17 00:00:00,2007-10-03 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,250.0,Denied,0.0,Deny,14.0,250.0
2009041157390,2009-03-25 00:00:00,2009-02-22 00:00:00,SAT,San Antonio International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),65.45,Denied,0.0,Deny,31.0,65.45
2009031256188,2009-02-25 00:00:00,2009-01-27 00:00:00,ASE,Aspen Pitkin County Sardy Field,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,210.0,Settled,143.4,Settle,29.0,66.6
0625189M,2003-06-25 00:00:00,2003-05-26 00:00:00,PHL,Philadelphia International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,500.0,Settled,100.0,Settle,30.0,400.0
2004090762192,2004-08-05 00:00:00,2004-07-27 00:00:00,PBI,Palm Beach International,Southwest Airlines,Passenger Theft,Checked Baggage,Other,2153.87,Settled,1574.3,Settle,9.0,579.5699999999999
2007011718878,2007-01-09 00:00:00,2006-12-18 00:00:00,RST,Rochester; MN,Northwest Airlines,Passenger Property Loss,Checked Baggage,Baby - Strollers; car seats; playpen; etc.,40.0,Approved,40.0,Approve in Full,22.0,0.0
0729186M,2003-07-29 00:00:00,2003-07-07 00:00:00,SEA,Seattle-Tacoma International,America West,Property Damage,Checked Baggage,Locks,59.63,Denied,0.0,Deny,22.0,59.63
2005090692199,2005-08-30 00:00:00,2005-07-23 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,89.0,Denied,0.0,Deny,38.0,89.0
2005092993430,2005-09-19 00:00:00,2005-08-03 00:00:00,TPA,Tampa International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,106.99,Approved,106.99,Approve in Full,47.0,0.0
2004120768743,2004-10-22 00:00:00,2004-07-10 00:00:00,ORF,Norfolk International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),70.0,Settled,50.0,Settle,104.0,20.0
2004091362782,2004-08-10 00:00:00,2004-06-17 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,418.0,Denied,0.0,Deny,54.0,418.0
2004050650605,2004-03-10 00:00:00,2003-08-21 00:00:00,GRB,Austin Straubel International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,470.0,Denied,0.0,Deny,202.0,470.0
2004042650137,2004-03-15 00:00:00,2004-02-28 00:00:00,HNL,Honolulu International Airport,Aloha Airlines,Passenger Property Loss,Checkpoint,Computer - Laptop,372.0,Settled,186.0,Settle,16.0,186.0
2008012438498,2008-01-29 00:00:00,2008-12-07 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Denied,0.0,Deny,-313.0,75.0
2006092213132,2006-09-20 00:00:00,2006-08-27 00:00:00,LGA,LaGuardia,Spirit Airlines,Property Damage,Checkpoint,PDA - Personal Data Assistants,210.94,Denied,0.0,Deny,24.0,210.94
2009010754201,2008-01-01 00:00:00,2008-12-31 00:00:00,ELP,El Paso International Airport,USAir,Property Damage,Checkpoint,Bags - Fabric; plastic; etc. (not purses),25.0,Denied,0.0,Deny,-365.0,25.0
2005120897337,2005-11-29 00:00:00,2005-11-19 00:00:00,IND,Indianapolis International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Cameras - Digital,260.0,Settled,200.0,Settle,10.0,60.0
2008111752269,2008-11-10 00:00:00,2008-11-03 00:00:00,DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),218.99,Denied,0.0,Deny,7.0,218.99
2006101814128,2006-10-12 00:00:00,2006-09-15 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Property Damage,Checked Baggage,Musical Instruments (pianos; organs; player pianos; & harps),475.0,Settled,237.5,Settle,27.0,237.5
2006041104314,2006-03-07 00:00:00,2006-01-22 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),26.5,Approved,26.5,Approve in Full,44.0,0.0
2008041742767,2008-04-07 00:00:00,2007-09-23 00:00:00,MIA,Miami International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,19.64,Approved,19.64,Approve in Full,197.0,0.0
2004051251452,2004-05-04 00:00:00,2004-03-01 00:00:00,F,Foreign airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,328.69,Approved,328.69,Approve in Full,64.0,0.0
2009123066978,2009-12-24 00:00:00,2009-12-16 20:00:00,DEN,Denver International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),65.03,Denied,0.0,Deny,7.0,65.03
0708047M,2003-07-08 00:00:00,2003-05-24 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Locks,200.0,Denied,0.0,Deny,45.0,200.0
2005040581629,2005-04-05 00:00:00,2005-02-16 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,50.0,Denied,0.0,Deny,48.0,50.0
