Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2006060107167,2006-05-25 00:00:00,2006-04-14 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Desk and Writing Equipment - pen and pencil sets; fountain pens; etc.,250.0,Denied,0.0,Deny,41.0,250.0
0402014L,2003-04-02 00:00:00,2003-03-09 00:00:00,DSM,Des Moines International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),45.03,Settled,27.5,Settle,24.0,17.53
2004051852780,2004-04-01 00:00:00,2004-02-08 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Cameras - Digital,1200.0,Settled,575.0,Settle,53.0,625.0
0318061L,2003-03-18 00:00:00,2003-02-27 00:00:00,SMF,Sacramento International Airport,America West,Passenger Property Loss,Checked Baggage,Other,20.0,Settled,10.0,Settle,19.0,10.0
2007041323948,2007-04-12 00:00:00,2007-04-05 00:00:00,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,700.0,Denied,0.0,Deny,7.0,700.0
2005011373633,2004-12-27 00:00:00,2004-12-18 00:00:00,CLE,Cleveland Hopkins International,America West,Passenger Property Loss,Checkpoint,Jewelry - Fine,340.0,Denied,0.0,Deny,9.0,340.0
2007122837063,2007-12-26 00:00:00,2007-12-14 00:00:00,PHL,Philadelphia International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,210.0,Denied,0.0,Deny,12.0,210.0
2005040181105,2005-03-29 00:00:00,2005-03-15 00:00:00,PHL,Philadelphia International Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,108.99,Approved,108.99,Approve in Full,14.0,0.0
2004062357156,2004-06-03 00:00:00,2004-04-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,46.0,0.0
2005122798414,2005-12-19 00:00:00,2005-11-08 00:00:00,FNT,Bishop International; Flint,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,399.0,Settled,200.0,Settle,41.0,199.0
2009032556889,2009-03-05 00:00:00,2009-02-19 00:00:00,TPA,Tampa International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.0,Denied,0.0,Deny,14.0,10.0
2004111366914,2004-09-28 00:00:00,2004-09-04 00:00:00,PHX,Phoenix Sky Harbor International,America West,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,478.82,Settled,418.18,Settle,24.0,60.639999999999986
2007100933150,2007-10-09 00:00:00,2007-10-03 00:00:00,COS,Colorado Springs Municipal,Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,350.0,Denied,0.0,Deny,6.0,350.0
2008082148893,2008-08-18 00:00:00,2008-07-09 00:00:00,DAL,Dallas Love Field,Southwest Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),793.0,Denied,0.0,Deny,40.0,793.0
0203321M,2004-02-03 00:00:00,2003-12-29 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,200.0,Approved,200.0,Approve in Full,36.0,0.0
2006051606398,2006-05-15 00:00:00,2006-03-04 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Books - Other (Hardcover non-fiction); Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Dental Equipment and Instruments,621.03,Settled,434.79,Settle,72.0,186.23999999999995
2005040181078,2005-03-29 00:00:00,2005-03-06 00:00:00,FLL,Ft. Lauderdale-Hollywood International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Other,15.0,Denied,0.0,Deny,23.0,15.0
0324010L,2003-03-24 00:00:00,2003-02-22 00:00:00,SJC,Norman Y Mineta San Jose International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),140.0,Settled,10.0,Settle,30.0,130.0
2005011173464,2004-12-21 00:00:00,2004-11-26 00:00:00,PHL,Philadelphia International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),162.45,Settled,132.45,Settle,25.0,30.0
2004052453253,2004-03-24 00:00:00,2004-02-22 00:00:00,CMH,Port Columbus International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,454.02,Settled,227.01,Settle,31.0,227.01
2006031302936,2006-03-06 00:00:00,2006-01-23 00:00:00,LGA,LaGuardia,Air Canada,Property Damage,Checked Baggage,Other,287.56,Denied,0.0,Deny,42.0,287.56
2006080410510,2006-08-02 00:00:00,2006-06-11 00:00:00,SYR,Syracuse-Hancock International,UAL,Property Damage,Checkpoint,Cell Phones,400.0,Settled,217.68,Settle,52.0,182.32
2005021075875,2005-01-19 00:00:00,2004-09-17 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),116.33,Settled,50.0,Settle,124.0,66.33
0223200M,2004-02-23 00:00:00,2003-12-24 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),259.99,Denied,0.0,Deny,61.0,259.99
2009121666583,2009-12-09 00:00:00,2009-11-02 16:30:00,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,Kitchen Utensils -Pots; Pans; Knives (heavy aluminum; cast iron; etc.),93.65,Denied,0.0,Deny,36.0,93.65
2007090431286,2007-08-29 00:00:00,2007-08-26 00:00:00,LAS,McCarran International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Jewelry - Costume,232.3,Denied,0.0,Deny,3.0,232.3
2006040403949,2006-03-23 00:00:00,2006-03-13 00:00:00,TYS,Mcghee Tyson ;Knoxville,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,39.25,Denied,0.0,Deny,10.0,39.25
2005041982773,2005-04-18 00:00:00,2005-03-25 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,120.0,Denied,0.0,Deny,24.0,120.0
2008060545307,2008-06-02 00:00:00,2008-02-22 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,741.99,Denied,0.0,Deny,101.0,741.99
2007042424398,2007-04-23 00:00:00,2007-04-18 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Other,400.0,Denied,0.0,Deny,5.0,400.0
2007112935640,2007-11-26 00:00:00,2007-11-02 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Medical Equipment & Insturments,690.0,Denied,0.0,Deny,24.0,690.0
2009061160086,2009-06-11 00:00:00,2008-04-05 00:00:00,BUF,Buffalo Niagara International,Jet Blue,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),518.0,Settled,440.3,Settle,432.0,77.69999999999999
2005071188621,2005-07-06 00:00:00,2005-04-08 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Locks,200.0,Denied,0.0,Deny,89.0,200.0
2007122837072,2007-12-26 00:00:00,2007-12-21 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Toys (game systems; cartridges; radio controlled cars; etc.),605.49,Denied,0.0,Deny,5.0,605.49
2004062357074,2004-06-03 00:00:00,2004-05-13 00:00:00,BDL,Bradley International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,43.0,Approved,43.0,Approve in Full,21.0,0.0
2006041004270,2006-03-30 00:00:00,2005-12-25 00:00:00,ICT,Wichita Mid-Continent,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,500.0,Denied,0.0,Deny,95.0,500.0
2008080848300,2008-08-05 00:00:00,2008-07-30 00:00:00,LAS,McCarran International,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital; Jewelry - Costume,500.0,Denied,0.0,Deny,6.0,500.0
2008110551900,2008-10-28 00:00:00,2008-10-21 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Locks,15.0,Denied,0.0,Deny,7.0,15.0
2007072428944,2007-07-23 00:00:00,2007-07-03 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,20.0,Denied,0.0,Deny,20.0,20.0
2005120797136,2005-11-28 00:00:00,2005-11-17 00:00:00,MHT,Manchester Regional Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),233.19,Denied,0.0,Deny,11.0,233.19
0305507M,2004-03-05 00:00:00,2004-02-23 00:00:00,CLT,Charlotte/Douglas International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,PDA - Personal Data Assistants,650.0,Denied,0.0,Deny,11.0,650.0
2004060955187,2004-05-10 00:00:00,2004-04-26 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,14.0,0.0
2005033180909,2005-03-23 00:00:00,2005-03-03 00:00:00,DFW,Dallas-Fort Worth International Airport,Brit Air,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,15.68,Denied,0.0,Deny,20.0,15.68
2009041157304,2009-03-18 00:00:00,2009-02-05 00:00:00,RNO,Reno/Tahoe International,Delta Air Lines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,60.0,Denied,0.0,Deny,41.0,60.0
0909214M,2003-09-09 00:00:00,2003-08-05 00:00:00,TUS,Tucson International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,35.0,100.0
2005022876851,2005-01-28 00:00:00,2004-12-22 00:00:00,HOU,William P. Hobby,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,27.0,Denied,0.0,Deny,37.0,27.0
2009111065271,2009-11-04 00:00:00,2009-10-08 00:00:00,TPA,Tampa International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,250.0,Denied,0.0,Deny,27.0,250.0
2004043050277,2004-03-30 00:00:00,2004-03-19 00:00:00,RDU,Raleigh-Durham International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Settled,100.0,Settle,11.0,100.0
0611030L,2003-06-11 00:00:00,2003-05-30 00:00:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.99,Settled,75.0,Settle,12.0,74.99000000000001
2005080590116,2005-07-26 00:00:00,2005-04-26 00:00:00,MIA,Miami International Airport,British Airways,Passenger Property Loss,Checked Baggage,Locks,15.98,Approved,15.98,Approve in Full,91.0,0.0
2005083091835,2005-08-23 00:00:00,2005-04-16 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,25.4,Denied,0.0,Deny,129.0,25.4
2005050484000,2005-05-04 00:00:00,2005-04-04 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,595.0,Denied,0.0,Deny,30.0,595.0
2007060426231,2007-05-25 00:00:00,2007-05-12 00:00:00,DAY,James M. Cox Dayton International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,106.5,Settled,53.25,Settle,13.0,53.25
2005062487111,2005-06-14 00:00:00,2005-06-03 00:00:00,LAS,McCarran International,America West,Passenger Property Loss,Checked Baggage,Locks,28.0,Denied,0.0,Deny,11.0,28.0
2004062256767,2004-05-27 00:00:00,2004-04-24 00:00:00,PHL,Philadelphia International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,350.0,Settled,175.0,Settle,33.0,175.0
2007100933160,2007-10-09 00:00:00,2007-09-28 00:00:00,SNA,John Wayne,USAir,Property Damage,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,30.0,Denied,0.0,Deny,11.0,30.0
2006102414502,2006-10-18 00:00:00,2006-10-12 00:00:00,TPA,Tampa International,American Airlines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,404.99,Denied,0.0,Deny,6.0,404.99
2004051351752,2004-03-30 00:00:00,2004-03-08 00:00:00,IND,Indianapolis International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,145.0,Settled,72.5,Settle,22.0,72.5
2005032879999,2005-03-07 00:00:00,2005-02-14 00:00:00,HNL,Honolulu International Airport,UAL,Property Damage,Checked Baggage,Computer - Laptop,49.99,Denied,0.0,Deny,21.0,49.99
2007032923212,2007-03-27 00:00:00,2007-03-17 00:00:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,90.0,Approved,90.0,Approve in Full,10.0,0.0
2008073147757,2008-07-23 00:00:00,2008-05-18 00:00:00,DAL,Dallas Love Field,American Airlines,Passenger Property Loss,Checked Baggage,Locks,21.45,Denied,0.0,Deny,66.0,21.45
2004061555770,2004-05-10 00:00:00,2004-04-20 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,358.0,Approved,358.0,Approve in Full,20.0,0.0
2007050324953,2007-05-01 00:00:00,2007-04-24 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers); Other,507.64,Denied,0.0,Deny,7.0,507.64
2005030777066,2005-03-07 00:00:00,2004-12-14 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,548.65,Settled,257.22,Settle,83.0,291.42999999999995
2005100594035,2005-09-29 00:00:00,2005-08-11 00:00:00,RNO,Reno/Tahoe International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,4.29,Approved,4.29,Approve in Full,49.0,0.0
2008091149795,2008-09-08 00:00:00,2008-08-21 00:00:00,SNA,John Wayne,American Airlines,Passenger Property Loss,Checked Baggage,Locks,25.0,Denied,0.0,Deny,18.0,25.0
2006083111844,2006-08-25 00:00:00,2006-07-23 00:00:00,RDU,Raleigh-Durham International,USAir,Passenger Property Loss,Checkpoint,Medical Equipment & Insturments,23.0,Approved,23.0,Approve in Full,33.0,0.0
2005082391305,2005-08-16 00:00:00,2005-08-09 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,695.0,Denied,0.0,Deny,7.0,695.0
2007012419372,2007-01-17 00:00:00,2006-12-31 00:00:00,GSP,Greenville-Spartanburg,USAir,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc); Toys (game systems; cartridges; radio controlled cars; etc.),104.9,Denied,0.0,Deny,17.0,104.9
2009121166422,2009-12-09 00:00:00,2009-11-29 00:00:00,AUS,Austin-Bergstrom International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Medicines,43.09,Denied,0.0,Deny,10.0,43.09
2006033003826,2006-03-21 00:00:00,2006-03-02 00:00:00,LAS,McCarran International,Southwest Airlines,Property Damage,Checkpoint,Other,270.0,Settled,135.0,Settle,19.0,135.0
2009090463384,2009-09-02 00:00:00,2009-08-19 00:00:00,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Fish/Game,600.0,Denied,0.0,Deny,14.0,600.0
2006062308461,2006-06-23 00:00:00,2006-05-27 00:00:00,PHX,Phoenix Sky Harbor International,Alaska Airlines,Property Damage,Checked Baggage,Computer - Laptop,240.0,Approved,240.0,Approve in Full,27.0,0.0
2004071259032,2004-06-22 00:00:00,2004-05-11 00:00:00,CHS,Charleston International,USAir,Passenger Property Loss,Checked Baggage,Locks,20.0,Denied,0.0,Deny,42.0,20.0
2007041824184,2007-04-17 00:00:00,2007-04-15 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,90.0,Settled,45.0,Settle,2.0,45.0
2004051452208,2004-03-12 00:00:00,2004-03-23 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Passenger Property Loss,Checkpoint,DVD/CD Players,303.09,Denied,303.09,Deny,-11.0,0.0
2005052485513,2005-05-23 00:00:00,2005-04-24 00:00:00,STL,Lambert St. Louis International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,144.99,Settled,88.28,Settle,29.0,56.71000000000001
2004111567047,2004-09-29 00:00:00,2004-09-08 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,255.67,Denied,0.0,Deny,21.0,255.67
2004122170039,2004-11-04 00:00:00,2004-08-27 00:00:00,PHL,Philadelphia International Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,15.0,Approved,15.0,Approve in Full,69.0,0.0
2006071009234,2006-07-07 00:00:00,2006-05-27 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,204.99,Denied,0.0,Deny,41.0,204.99
0105655M,2004-01-05 00:00:00,2003-11-28 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,500.0,Settled,250.0,Settle,38.0,250.0
2005100493826,2005-09-27 00:00:00,2005-06-22 00:00:00,MIA,Miami International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Cameras - Digital,800.0,Settled,274.0,Settle,97.0,526.0
2008040742029,2008-03-26 00:00:00,2008-02-15 00:00:00,FLL,Ft. Lauderdale-Hollywood International,USAir,Property Damage,Checkpoint,Handbags & Purses (leather or fabric),35.0,Approved,35.0,Approve in Full,40.0,0.0
1117508M,2003-11-17 00:00:00,2003-10-07 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,540.0,Settled,270.0,Settle,41.0,270.0
2008062746271,2008-06-23 00:00:00,2008-06-07 00:00:00,EWR,Newark International Airport,Delta Air Lines,Property Damage,Checkpoint,Medicines,82.0,Denied,0.0,Deny,16.0,82.0
2005042183042,2005-04-19 00:00:00,2005-03-13 00:00:00,HSV,Huntsville International Airport,American Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,215.97,Settled,151.21,Settle,37.0,64.75999999999999
2008013138969,2008-01-25 00:00:00,2007-12-12 00:00:00,HNL,Honolulu International Airport,Northwest Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),450.0,Settled,313.62,Settle,44.0,136.38
2004061555871,2004-03-18 00:00:00,2003-08-22 00:00:00,PHX,Phoenix Sky Harbor International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1445.0,Approved,1445.0,Approve in Full,209.0,0.0
2006083111887,2006-08-28 00:00:00,2006-07-21 00:00:00,FAT,Fresno Yosemite International,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),107.94,Approved,107.94,Approve in Full,38.0,0.0
2009040257140,2009-03-17 00:00:00,2009-02-07 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Property Damage,Checked Baggage,Medical Equipment & Insturments,180.74,Approved,180.74,Approve in Full,38.0,0.0
2005062186766,2005-06-07 00:00:00,2005-04-28 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players,204.03,Denied,0.0,Deny,40.0,204.03
19225,2002-10-28 00:00:00,2002-10-02 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Luggage (all types including footlockers),263.0,Approved,263.0,Approve in Full,26.0,0.0
2005040681787,2005-04-05 00:00:00,2005-03-24 00:00:00,HOU,William P. Hobby,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),314.21,Denied,0.0,Deny,12.0,314.21
2006032003375,2006-03-14 00:00:00,2006-03-07 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,601.87,Settled,300.94,Settle,7.0,300.93
2008112152658,2008-11-17 00:00:00,2008-11-14 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,700.0,Denied,0.0,Deny,3.0,700.0
2006101914170,2006-10-12 00:00:00,2006-09-23 00:00:00,LBE,Arnold Palmer Regional Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,700.0,Denied,0.0,Deny,19.0,700.0
2004092763880,2004-08-10 00:00:00,2004-06-01 00:00:00,AUS,Austin-Bergstrom International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,340.0,Settled,200.0,Settle,70.0,140.0
0210334M,2004-02-10 00:00:00,2003-11-01 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Locks,79.87,Approved,79.87,Approve in Full,101.0,0.0
2009051458631,2009-04-27 00:00:00,2009-04-13 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,65.0,Denied,0.0,Deny,14.0,65.0
2004072760111,2004-07-20 00:00:00,2004-07-09 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.0,Settled,75.0,Settle,11.0,75.0
2006122217712,2006-12-13 00:00:00,2006-12-02 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Other,98.0,Approved,98.0,Approve in Full,11.0,0.0
2004072359962,2004-06-29 00:00:00,2004-01-17 00:00:00,LAX,Los Angeles International Airport,Korean Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,859.65,Denied,859.65,Deny,164.0,0.0
2005012274008,2004-12-07 00:00:00,2004-11-27 00:00:00,EWR,Newark International Airport,UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,41.28,Settled,20.64,Settle,10.0,20.64
2004062857577,2004-06-08 00:00:00,2004-05-26 00:00:00,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),135.0,Settled,50.0,Settle,13.0,85.0
0616512L,2003-01-07 00:00:00,2002-11-10 00:00:00,SAN,San Diego International,Southwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,484.0,Settled,242.0,Settle,58.0,242.0
2007110234396,2007-10-31 00:00:00,2007-10-03 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Sun Country Airlines Inc,Property Damage,Checked Baggage,Cameras - Digital,344.0,Denied,0.0,Deny,28.0,344.0
2006072009815,2006-07-18 00:00:00,2006-07-12 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,60.0,Denied,0.0,Deny,6.0,60.0
2004101965262,2004-09-20 00:00:00,2004-09-06 00:00:00,SEA,Seattle-Tacoma International,Northwest Airlines,Property Damage,Checked Baggage,Other,8.95,Approved,8.95,Approve in Full,14.0,0.0
2005062887638,2005-06-14 00:00:00,2005-06-07 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,40.0,Approved,40.0,Approve in Full,7.0,0.0
2006031503116,2006-03-09 00:00:00,2005-03-03 00:00:00,GEG,Spokane International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Medicines,349.8,Denied,0.0,Deny,371.0,349.8
2004062156750,2004-05-27 00:00:00,2004-05-04 00:00:00,TPA,Tampa International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,225.35,Approved,225.35,Approve in Full,23.0,0.0
2007051925694,2007-05-17 00:00:00,2007-05-06 00:00:00,BOI,Boise Air Terminal/Gowen Field,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),257.4,Settled,50.0,Settle,11.0,207.39999999999998
2005042183037,2005-04-19 00:00:00,2005-03-13 00:00:00,SWF,Stewart  Field,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,193.0,Approved,193.0,Approve in Full,37.0,0.0
2007030922038,2007-03-06 00:00:00,2007-02-05 00:00:00,PNS,Pensacola Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,12.39,Denied,0.0,Deny,29.0,12.39
0721099M,2003-07-21 00:00:00,2003-06-10 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital,535.0,Denied,0.0,Deny,41.0,535.0
2007082931112,2007-08-27 00:00:00,2007-02-17 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Passenger Property Loss,Checked Baggage,Handbags & Purses (leather or fabric); Jewelry - Fine,380.0,Denied,0.0,Deny,191.0,380.0
2008010937597,2008-01-07 00:00:00,2007-12-30 00:00:00,BDL,Bradley International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),99.99,Settled,91.02,Settle,8.0,8.969999999999999
2008042243113,2008-04-11 00:00:00,2008-03-28 00:00:00,TPA,Tampa International,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Dishes; Pottery; Glassware; Plasticware,10.98,Approved,10.98,Approve in Full,14.0,0.0
2009052759493,2009-05-07 00:00:00,2009-04-18 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines,Passenger Property Loss,Checkpoint,MP3 Players-(iPods; etc),69.99,Denied,0.0,Deny,19.0,69.99
2009010554041,2008-12-29 00:00:00,2008-06-18 00:00:00,PHX,Phoenix Sky Harbor International,USAir,Passenger Property Loss,Checked Baggage,Books - Other (Hardcover non-fiction); Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Luggage (all types including footlockers); Toys - Other (including games; toys; play dolls etc.),500.0,Denied,0.0,Deny,194.0,500.0
2007081030099,2007-08-09 00:00:00,2007-07-25 00:00:00,DCA,Ronald Reagan Washington National Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Other,825.0,Settled,412.5,Settle,15.0,412.5
0826130M,2003-08-26 00:00:00,2003-07-23 00:00:00,OKC,Will Rogers World,American Airlines,Passenger Property Loss,Checked Baggage,Other,100.0,Approved,100.0,Approve in Full,34.0,0.0
2005011673743,2004-11-18 00:00:00,2004-10-31 00:00:00,ALB,Albany International,American Airlines,Passenger Property Loss,Checked Baggage,Other,32.0,Approved,32.0,Approve in Full,18.0,0.0
0717091M,2003-07-17 00:00:00,2003-06-23 00:00:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,235.4,Settled,117.7,Settle,24.0,117.7
2007120335910,2007-11-27 00:00:00,2007-11-23 00:00:00,CHS,Charleston International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,95.0,Denied,0.0,Deny,4.0,95.0
2005082391233,2005-08-16 00:00:00,2005-07-23 00:00:00,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,2030.0,Settled,1827.0,Settle,24.0,203.0
